,piece,moves,last_square,captured,captures,move_nums,game_id,mean_elo,Checkmate,Termination
63,♜-h8,"[61, 63]",63,True,[],[37],u2c6lcug,1638.0,False,Time forfeit
62,♞-g8,[45],45,True,[],[3],u2c6lcug,1638.0,False,Time forfeit
61,♝-f8,"[34, 20]",20,True,['♗-c1'],"[9, 15]",u2c6lcug,1638.0,False,Time forfeit
60,♚-e8,"[62, 54, 61, 52, 59, 58, 57]",57,False,[],"[11, 35, 43, 47, 49, 51, 53]",u2c6lcug,1638.0,False,Time forfeit
59,♛-d8,"[52, 59, 52, 34]",34,False,[],"[19, 21, 39, 45]",u2c6lcug,1638.0,False,Time forfeit
58,♝-c8,"[30, 44, 35]",35,True,['♘-b1'],"[13, 23, 25]",u2c6lcug,1638.0,False,Time forfeit
57,♞-b8,"[42, 52, 46]",46,True,[],"[17, 27, 31]",u2c6lcug,1638.0,False,Time forfeit
56,♜-a8,[],56,False,[],[],u2c6lcug,1638.0,False,Time forfeit
55,♟-h7,[47],47,False,[],[29],u2c6lcug,1638.0,False,Time forfeit
54,♟-g7,[45],45,True,['♘-g1'],[33],u2c6lcug,1638.0,False,Time forfeit
53,♟-f7,[46],46,True,['♙-h2'],[41],u2c6lcug,1638.0,False,Time forfeit
52,♟-e7,[36],36,True,[],[1],u2c6lcug,1638.0,False,Time forfeit
51,♟-d7,"[43, 36]",36,False,['♙-d2'],"[5, 7]",u2c6lcug,1638.0,False,Time forfeit
50,♟-c7,[],50,False,[],[],u2c6lcug,1638.0,False,Time forfeit
49,♟-b7,[],49,False,[],[],u2c6lcug,1638.0,False,Time forfeit
48,♟-a7,[],48,False,[],[],u2c6lcug,1638.0,False,Time forfeit
15,♙-h2,"[31, 39, 46]",46,True,['♞-b8'],"[36, 38, 40]",u2c6lcug,1638.0,False,Time forfeit
14,♙-g2,[],14,False,[],[],u2c6lcug,1638.0,False,Time forfeit
13,♙-f2,[20],20,False,['♝-f8'],[16],u2c6lcug,1638.0,False,Time forfeit
12,♙-e2,"[28, 35]",35,False,['♝-c8'],"[0, 26]",u2c6lcug,1638.0,False,Time forfeit
11,♙-d2,"[27, 36]",36,True,['♟-e7'],"[4, 6]",u2c6lcug,1638.0,False,Time forfeit
10,♙-c2,[],10,False,[],[],u2c6lcug,1638.0,False,Time forfeit
9,♙-b2,[],9,False,[],[],u2c6lcug,1638.0,False,Time forfeit
8,♙-a2,[],8,False,[],[],u2c6lcug,1638.0,False,Time forfeit
7,♖-h1,"[5, 13, 45, 53]",53,False,['♟-g7'],"[44, 46, 48]",u2c6lcug,1638.0,False,Time forfeit
6,♘-g1,"[21, 38, 28, 45]",45,True,['♞-g8'],"[2, 24, 30, 32]",u2c6lcug,1638.0,False,Time forfeit
5,♗-f1,"[19, 37]",37,False,[],"[8, 52]",u2c6lcug,1638.0,False,Time forfeit
4,♔-e1,[6],6,False,[],[10],u2c6lcug,1638.0,False,Time forfeit
3,♕-d1,"[4, 31, 30, 46, 45, 63]",63,False,"['♟-f7', '♜-h8']","[18, 28, 34, 42, 50, 54]",u2c6lcug,1638.0,False,Time forfeit
2,♗-c1,[20],20,True,[],[14],u2c6lcug,1638.0,False,Time forfeit
1,♘-b1,"[18, 35]",35,True,[],"[12, 20]",u2c6lcug,1638.0,False,Time forfeit
0,♖-a1,[3],3,False,[],[22],u2c6lcug,1638.0,False,Time forfeit
63,♜-h8,"[61, 21, 53, 61, 13]",13,False,"['♘-g1', '♕-d1', '♙-f2']","[35, 41, 45, 49]",11lz75z1,1795.5,♞-g8,Normal
62,♞-g8,"[45, 35, 18]",18,False,[],"[7, 31, 61]",11lz75z1,1795.5,♞-g8,Normal
61,♝-f8,[52],52,True,[],[13],11lz75z1,1795.5,♞-g8,Normal
60,♚-e8,[62],62,False,[],[23],11lz75z1,1795.5,♞-g8,Normal
59,♛-d8,"[52, 53]",53,True,['♗-c1'],"[33, 37]",11lz75z1,1795.5,♞-g8,Normal
58,♝-c8,"[30, 39, 46]",46,True,[],"[9, 25, 27]",11lz75z1,1795.5,♞-g8,Normal
57,♞-b8,"[51, 41, 26, 11, 17, 11, 17]",17,False,['♖-a1'],"[17, 19, 39, 51, 53, 55, 57]",11lz75z1,1795.5,♞-g8,Normal
56,♜-a8,[],56,False,[],[],11lz75z1,1795.5,♞-g8,Normal
55,♟-h7,"[47, 39]",39,False,[],"[15, 43]",11lz75z1,1795.5,♞-g8,Normal
54,♟-g7,[],54,False,[],[],11lz75z1,1795.5,♞-g8,Normal
53,♟-f7,[46],46,True,['♗-f1'],[29],11lz75z1,1795.5,♞-g8,Normal
52,♟-e7,[44],44,True,[],[11],11lz75z1,1795.5,♞-g8,Normal
51,♟-d7,"[35, 26]",26,True,['♙-c2'],"[3, 5]",11lz75z1,1795.5,♞-g8,Normal
50,♟-c7,[42],42,False,[],[1],11lz75z1,1795.5,♞-g8,Normal
49,♟-b7,[41],41,False,[],[47],11lz75z1,1795.5,♞-g8,Normal
48,♟-a7,"[32, 24]",24,False,[],"[21, 59]",11lz75z1,1795.5,♞-g8,Normal
15,♙-h2,"[23, 31]",31,False,[],"[24, 36]",11lz75z1,1795.5,♞-g8,Normal
14,♙-g2,"[30, 38, 46]",46,False,[],"[26, 42, 44]",11lz75z1,1795.5,♞-g8,Normal
13,♙-f2,[],13,True,[],[],11lz75z1,1795.5,♞-g8,Normal
12,♙-e2,"[20, 28]",28,False,[],"[10, 60]",11lz75z1,1795.5,♞-g8,Normal
11,♙-d2,[27],27,False,[],[0],11lz75z1,1795.5,♞-g8,Normal
10,♙-c2,[26],26,True,[],[2],11lz75z1,1795.5,♞-g8,Normal
9,♙-b2,[],9,False,[],[],11lz75z1,1795.5,♞-g8,Normal
8,♙-a2,[16],16,False,[],[22],11lz75z1,1795.5,♞-g8,Normal
7,♖-h1,[],7,False,[],[],11lz75z1,1795.5,♞-g8,Normal
6,♘-g1,[21],21,True,[],[6],11lz75z1,1795.5,♞-g8,Normal
5,♗-f1,"[26, 19, 46]",46,True,"['♟-d7', '♝-c8']","[12, 20, 28]",11lz75z1,1795.5,♞-g8,Normal
4,♔-e1,"[2, 1, 0, 8]",8,False,[],"[18, 54, 56, 58]",11lz75z1,1795.5,♞-g8,Normal
3,♕-d1,"[10, 46, 39, 53]",53,True,"['♟-f7', '♛-d8']","[14, 30, 38, 40]",11lz75z1,1795.5,♞-g8,Normal
2,♗-c1,"[38, 31, 52]",52,True,['♝-f8'],"[8, 16, 32]",11lz75z1,1795.5,♞-g8,Normal
1,♘-b1,"[18, 28, 34, 44, 38]",38,False,['♟-e7'],"[4, 34, 46, 48, 52]",11lz75z1,1795.5,♞-g8,Normal
0,♖-a1,"[3, 11]",11,True,[],[50],11lz75z1,1795.5,♞-g8,Normal
63,♜-h8,[],63,False,[],[],5ug0gm2j,,♛-d8,Normal
62,♞-g8,"[45, 30, 20]",20,True,['♗-c1'],"[13, 15, 21]",5ug0gm2j,,♛-d8,Normal
61,♝-f8,"[43, 22]",22,False,['♙-e2'],"[17, 25]",5ug0gm2j,,♛-d8,Normal
60,♚-e8,[],60,False,[],[],5ug0gm2j,,♛-d8,Normal
59,♛-d8,"[52, 20, 13]",13,False,['♙-f2'],"[19, 23, 27]",5ug0gm2j,,♛-d8,Normal
58,♝-c8,[49],49,False,[],[9],5ug0gm2j,,♛-d8,Normal
57,♞-b8,[40],40,True,[],[5],5ug0gm2j,,♛-d8,Normal
56,♜-a8,[],56,False,[],[],5ug0gm2j,,♛-d8,Normal
55,♟-h7,[],55,False,[],[],5ug0gm2j,,♛-d8,Normal
54,♟-g7,[],54,False,[],[],5ug0gm2j,,♛-d8,Normal
53,♟-f7,[],53,False,[],[],5ug0gm2j,,♛-d8,Normal
52,♟-e7,[43],43,True,['♙-d2'],[11],5ug0gm2j,,♛-d8,Normal
51,♟-d7,[43],43,True,[],[3],5ug0gm2j,,♛-d8,Normal
50,♟-c7,[34],34,True,[],[1],5ug0gm2j,,♛-d8,Normal
49,♟-b7,[40],40,False,['♗-f1'],[7],5ug0gm2j,,♛-d8,Normal
48,♟-a7,[],48,False,[],[],5ug0gm2j,,♛-d8,Normal
15,♙-h2,[23],23,False,[],[18],5ug0gm2j,,♛-d8,Normal
14,♙-g2,[],14,False,[],[],5ug0gm2j,,♛-d8,Normal
13,♙-f2,[20],20,True,['♞-g8'],[22],5ug0gm2j,,♛-d8,Normal
12,♙-e2,"[28, 36, 43]",43,True,['♟-e7'],"[0, 14, 16]",5ug0gm2j,,♛-d8,Normal
11,♙-d2,"[27, 34, 43]",43,True,"['♟-c7', '♟-d7']","[4, 8, 10]",5ug0gm2j,,♛-d8,Normal
10,♙-c2,[],10,False,[],[],5ug0gm2j,,♛-d8,Normal
9,♙-b2,[],9,False,[],[],5ug0gm2j,,♛-d8,Normal
8,♙-a2,[],8,False,[],[],5ug0gm2j,,♛-d8,Normal
7,♖-h1,[],7,False,[],[],5ug0gm2j,,♛-d8,Normal
6,♘-g1,[21],21,False,[],[2],5ug0gm2j,,♛-d8,Normal
5,♗-f1,[40],40,True,['♞-b8'],[6],5ug0gm2j,,♛-d8,Normal
4,♔-e1,[5],5,False,[],[26],5ug0gm2j,,♛-d8,Normal
3,♕-d1,[],3,False,[],[],5ug0gm2j,,♛-d8,Normal
2,♗-c1,[20],20,True,[],[20],5ug0gm2j,,♛-d8,Normal
1,♘-b1,"[18, 12]",12,False,[],"[12, 24]",5ug0gm2j,,♛-d8,Normal
0,♖-a1,[],0,False,[],[],5ug0gm2j,,♛-d8,Normal
63,♜-h8,"[61, 58, 2]",2,True,"['♖-h1', '♖-a1']","[43, 57]",9eowgcah,1473.0,False,Normal
62,♞-g8,"[45, 51, 41, 26]",26,True,[],"[19, 35, 45, 47]",9eowgcah,1473.0,False,Normal
61,♝-f8,"[52, 43, 52, 25, 16, 2]",2,True,"['♙-b2', '♗-c1']","[3, 25, 37, 49, 51, 53]",9eowgcah,1473.0,False,Normal
60,♚-e8,"[62, 53, 46, 38]",38,False,[],"[39, 63, 65, 69]",9eowgcah,1473.0,False,Normal
59,♛-d8,"[41, 50, 57, 43, 50]",50,False,[],"[15, 23, 41, 61, 67]",9eowgcah,1473.0,False,Normal
58,♝-c8,"[51, 42, 33, 26]",26,True,['♗-f1'],"[13, 21, 27, 31]",9eowgcah,1473.0,False,Normal
57,♞-b8,[42],42,True,[],[11],9eowgcah,1473.0,False,Normal
56,♜-a8,[58],58,True,[],[29],9eowgcah,1473.0,False,Normal
55,♟-h7,[46],46,False,['♙-f2'],[73],9eowgcah,1473.0,False,Normal
54,♟-g7,[46],46,True,[],[71],9eowgcah,1473.0,False,Normal
53,♟-f7,[45],45,False,[],[59],9eowgcah,1473.0,False,Normal
52,♟-e7,[44],44,True,[],[1],9eowgcah,1473.0,False,Normal
51,♟-d7,[35],35,True,[],[7],9eowgcah,1473.0,False,Normal
50,♟-c7,"[42, 35, 26]",26,True,"['♙-c2', '♘-g1']","[5, 9, 33]",9eowgcah,1473.0,False,Normal
49,♟-b7,[33],33,False,[],[55],9eowgcah,1473.0,False,Normal
48,♟-a7,[40],40,True,[],[17],9eowgcah,1473.0,False,Normal
15,♙-h2,[],15,False,[],[],9eowgcah,1473.0,False,Normal
14,♙-g2,[],14,False,[],[],9eowgcah,1473.0,False,Normal
13,♙-f2,"[29, 37, 46]",46,True,['♟-g7'],"[26, 68, 72]",9eowgcah,1473.0,False,Normal
12,♙-e2,[20],20,False,[],[10],9eowgcah,1473.0,False,Normal
11,♙-d2,[27],27,False,[],[0],9eowgcah,1473.0,False,Normal
10,♙-c2,"[26, 35]",35,True,['♟-d7'],"[4, 8]",9eowgcah,1473.0,False,Normal
9,♙-b2,"[17, 25]",25,True,[],"[38, 44]",9eowgcah,1473.0,False,Normal
8,♙-a2,[],8,False,[],[],9eowgcah,1473.0,False,Normal
7,♖-h1,"[5, 2, 26, 58]",58,True,"['♟-c7', '♜-a8']","[28, 40, 42]",9eowgcah,1473.0,False,Normal
6,♘-g1,"[21, 36, 26]",26,True,['♝-c8'],"[2, 24, 32]",9eowgcah,1473.0,False,Normal
5,♗-f1,"[33, 42]",42,True,['♞-b8'],"[12, 20]",9eowgcah,1473.0,False,Normal
4,♔-e1,[6],6,False,[],[18],9eowgcah,1473.0,False,Normal
3,♕-d1,"[24, 10, 17, 24, 3, 2, 58, 44, 40]",40,False,"['♜-h8', '♟-e7', '♟-a7']","[14, 22, 30, 34, 46, 58, 62, 66, 70]",9eowgcah,1473.0,False,Normal
2,♗-c1,"[11, 2]",2,True,[],"[16, 48]",9eowgcah,1473.0,False,Normal
1,♘-b1,"[18, 28, 11, 26, 36, 51, 34, 44]",44,False,['♞-g8'],"[6, 36, 50, 52, 56, 60, 64, 74]",9eowgcah,1473.0,False,Normal
0,♖-a1,[2],2,True,['♝-f8'],[54],9eowgcah,1473.0,False,Normal
63,♜-h8,[],63,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
62,♞-g8,[45],45,False,[],[11],zz6hctpl,1716.5,♗-c1,Normal
61,♝-f8,[],61,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
60,♚-e8,"[59, 60, 52]",52,False,['♕-d1'],"[7, 13, 21]",zz6hctpl,1716.5,♗-c1,Normal
59,♛-d8,[],59,True,[],[],zz6hctpl,1716.5,♗-c1,Normal
58,♝-c8,[],58,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
57,♞-b8,"[42, 36]",36,False,['♙-f2'],"[15, 17]",zz6hctpl,1716.5,♗-c1,Normal
56,♜-a8,[],56,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
55,♟-h7,[],55,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
54,♟-g7,[],54,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
53,♟-f7,[],53,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
52,♟-e7,[36],36,True,[],[9],zz6hctpl,1716.5,♗-c1,Normal
51,♟-d7,"[43, 34]",34,True,['♙-d2'],"[3, 5]",zz6hctpl,1716.5,♗-c1,Normal
50,♟-c7,[34],34,True,[],[1],zz6hctpl,1716.5,♗-c1,Normal
49,♟-b7,[],49,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
48,♟-a7,[40],40,False,[],[19],zz6hctpl,1716.5,♗-c1,Normal
15,♙-h2,[],15,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
14,♙-g2,[],14,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
13,♙-f2,"[29, 36]",36,True,['♟-e7'],"[14, 16]",zz6hctpl,1716.5,♗-c1,Normal
12,♙-e2,[28],28,False,[],[0],zz6hctpl,1716.5,♗-c1,Normal
11,♙-d2,"[27, 34]",34,True,['♟-c7'],"[2, 4]",zz6hctpl,1716.5,♗-c1,Normal
10,♙-c2,[],10,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
9,♙-b2,[],9,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
8,♙-a2,[],8,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
7,♖-h1,[],7,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
6,♘-g1,[],6,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
5,♗-f1,[],5,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
4,♔-e1,[2],2,False,[],[12],zz6hctpl,1716.5,♗-c1,Normal
3,♕-d1,[59],59,True,['♛-d8'],[6],zz6hctpl,1716.5,♗-c1,Normal
2,♗-c1,"[20, 34]",34,False,['♟-d7'],"[8, 22]",zz6hctpl,1716.5,♗-c1,Normal
1,♘-b1,"[18, 33, 50]",50,False,[],"[10, 18, 20]",zz6hctpl,1716.5,♗-c1,Normal
0,♖-a1,[3],3,False,[],[],zz6hctpl,1716.5,♗-c1,Normal
63,♜-h8,[61],61,False,[],[],jz0n40qn,1796.0,False,Time forfeit
62,♞-g8,"[45, 51, 45, 35]",35,True,"['♙-e2', '♘-b1']","[7, 9, 19, 47]",jz0n40qn,1796.0,False,Time forfeit
61,♝-f8,"[52, 34, 52, 43]",43,True,['♙-d2'],"[11, 21, 25, 27]",jz0n40qn,1796.0,False,Time forfeit
60,♚-e8,"[62, 63]",63,False,[],"[13, 57]",jz0n40qn,1796.0,False,Time forfeit
59,♛-d8,"[43, 29, 38, 31, 38, 30]",30,False,"['♗-c1', '♗-f1']","[29, 37, 39, 59, 63, 65]",jz0n40qn,1796.0,False,Time forfeit
58,♝-c8,"[23, 44, 35, 49]",49,True,"['♙-h2', '♙-c2', '♘-g1']","[41, 43, 49, 55]",jz0n40qn,1796.0,False,Time forfeit
57,♞-b8,"[42, 36, 30]",30,True,[],"[15, 53, 61]",jz0n40qn,1796.0,False,Time forfeit
56,♜-a8,[],56,False,[],[],jz0n40qn,1796.0,False,Time forfeit
55,♟-h7,[47],47,False,[],[23],jz0n40qn,1796.0,False,Time forfeit
54,♟-g7,[],54,False,[],[],jz0n40qn,1796.0,False,Time forfeit
53,♟-f7,[45],45,True,[],[17],jz0n40qn,1796.0,False,Time forfeit
52,♟-e7,"[44, 36, 28]",28,False,[],"[3, 33, 35]",jz0n40qn,1796.0,False,Time forfeit
51,♟-d7,"[35, 27, 19]",19,False,[],"[5, 45, 51]",jz0n40qn,1796.0,False,Time forfeit
50,♟-c7,[34],34,True,[],[1],jz0n40qn,1796.0,False,Time forfeit
49,♟-b7,[],49,True,[],[],jz0n40qn,1796.0,False,Time forfeit
48,♟-a7,[40],40,False,[],[31],jz0n40qn,1796.0,False,Time forfeit
15,♙-h2,[23],23,True,[],[16],jz0n40qn,1796.0,False,Time forfeit
14,♙-g2,[22],22,False,[],[60],jz0n40qn,1796.0,False,Time forfeit
13,♙-f2,[],13,False,[],[],jz0n40qn,1796.0,False,Time forfeit
12,♙-e2,"[28, 36, 45]",45,True,['♟-f7'],"[0, 8, 18]",jz0n40qn,1796.0,False,Time forfeit
11,♙-d2,"[19, 27, 34]",34,True,['♟-c7'],"[6, 10, 20]",jz0n40qn,1796.0,False,Time forfeit
10,♙-c2,"[18, 26, 35]",35,True,['♞-g8'],"[12, 44, 48]",jz0n40qn,1796.0,False,Time forfeit
9,♙-b2,[],9,False,[],[],jz0n40qn,1796.0,False,Time forfeit
8,♙-a2,[],8,False,[],[],jz0n40qn,1796.0,False,Time forfeit
7,♖-h1,[5],5,False,[],[],jz0n40qn,1796.0,False,Time forfeit
6,♘-g1,"[21, 11, 26, 43, 49]",49,True,['♟-b7'],"[2, 34, 36, 40, 50]",jz0n40qn,1796.0,False,Time forfeit
5,♗-f1,"[12, 30, 23, 30]",30,True,['♞-b8'],"[4, 52, 54, 64]",jz0n40qn,1796.0,False,Time forfeit
4,♔-e1,"[6, 15, 14]",14,False,[],"[14, 42, 62]",jz0n40qn,1796.0,False,Time forfeit
3,♕-d1,"[17, 49]",49,False,['♝-c8'],"[56, 58]",jz0n40qn,1796.0,False,Time forfeit
2,♗-c1,"[38, 31, 22, 43]",43,True,['♝-f8'],"[22, 24, 26, 28]",jz0n40qn,1796.0,False,Time forfeit
1,♘-b1,"[16, 10, 20, 35]",35,True,[],"[30, 32, 38, 46]",jz0n40qn,1796.0,False,Time forfeit
0,♖-a1,[],0,False,[],[],jz0n40qn,1796.0,False,Time forfeit
63,♜-h8,[],63,False,[],[],cryiytws,1800.0,False,Normal
62,♞-g8,[47],47,False,[],[7],cryiytws,1800.0,False,Normal
61,♝-f8,[],61,False,[],[],cryiytws,1800.0,False,Normal
60,♚-e8,[],60,False,[],[],cryiytws,1800.0,False,Normal
59,♛-d8,[],59,False,[],[],cryiytws,1800.0,False,Normal
58,♝-c8,"[30, 37]",37,False,[],"[9, 13]",cryiytws,1800.0,False,Normal
57,♞-b8,"[42, 27, 10]",10,False,"['♙-d2', '♙-c2']","[5, 11, 15]",cryiytws,1800.0,False,Normal
56,♜-a8,[],56,False,[],[],cryiytws,1800.0,False,Normal
55,♟-h7,[],55,False,[],[],cryiytws,1800.0,False,Normal
54,♟-g7,[],54,False,[],[],cryiytws,1800.0,False,Normal
53,♟-f7,[],53,False,[],[],cryiytws,1800.0,False,Normal
52,♟-e7,[],52,False,[],[],cryiytws,1800.0,False,Normal
51,♟-d7,[35],35,False,[],[1],cryiytws,1800.0,False,Normal
50,♟-c7,[34],34,False,[],[3],cryiytws,1800.0,False,Normal
49,♟-b7,[],49,False,[],[],cryiytws,1800.0,False,Normal
48,♟-a7,[],48,False,[],[],cryiytws,1800.0,False,Normal
15,♙-h2,[],15,False,[],[],cryiytws,1800.0,False,Normal
14,♙-g2,[22],22,False,[],[4],cryiytws,1800.0,False,Normal
13,♙-f2,[21],21,False,[],[10],cryiytws,1800.0,False,Normal
12,♙-e2,"[28, 36]",36,False,[],"[0, 2]",cryiytws,1800.0,False,Normal
11,♙-d2,[27],27,True,[],[8],cryiytws,1800.0,False,Normal
10,♙-c2,[],10,True,[],[],cryiytws,1800.0,False,Normal
9,♙-b2,[],9,False,[],[],cryiytws,1800.0,False,Normal
8,♙-a2,[],8,False,[],[],cryiytws,1800.0,False,Normal
7,♖-h1,[],7,False,[],[],cryiytws,1800.0,False,Normal
6,♘-g1,[],6,False,[],[],cryiytws,1800.0,False,Normal
5,♗-f1,[],5,False,[],[],cryiytws,1800.0,False,Normal
4,♔-e1,[],4,False,[],[],cryiytws,1800.0,False,Normal
3,♕-d1,"[12, 19, 20]",20,False,[],"[6, 12, 14]",cryiytws,1800.0,False,Normal
2,♗-c1,[],2,False,[],[],cryiytws,1800.0,False,Normal
1,♘-b1,[],1,False,[],[],cryiytws,1800.0,False,Normal
0,♖-a1,[],0,False,[],[],cryiytws,1800.0,False,Normal
63,♜-h8,[],63,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
62,♞-g8,[],62,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
61,♝-f8,[],61,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
60,♚-e8,[],60,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
59,♛-d8,"[11, 19, 3]",3,False,[],"[31, 33, 37]",5pv72z4l,1428.5,♛-d8,Normal
58,♝-c8,"[49, 40, 5, 40]",40,False,['♗-f1'],"[3, 11, 17, 25]",5pv72z4l,1428.5,♛-d8,Normal
57,♞-b8,[],57,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
56,♜-a8,"[0, 1, 2, 34, 10]",10,False,"['♖-a1', '♘-b1', '♗-c1', '♕-d1']","[19, 21, 23, 29, 35]",5pv72z4l,1428.5,♛-d8,Normal
55,♟-h7,[],55,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
54,♟-g7,[],54,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
53,♟-f7,[],53,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
52,♟-e7,[],52,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
51,♟-d7,[42],42,False,['♙-d2'],[27],5pv72z4l,1428.5,♛-d8,Normal
50,♟-c7,[42],42,True,[],[15],5pv72z4l,1428.5,♛-d8,Normal
49,♟-b7,"[41, 33]",33,True,[],"[1, 7]",5pv72z4l,1428.5,♛-d8,Normal
48,♟-a7,"[40, 33, 25]",25,True,['♙-c2'],"[5, 9, 13]",5pv72z4l,1428.5,♛-d8,Normal
15,♙-h2,[],15,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
14,♙-g2,[],14,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
13,♙-f2,"[29, 37]",37,False,[],"[4, 14]",5pv72z4l,1428.5,♛-d8,Normal
12,♙-e2,"[28, 36]",36,False,[],"[2, 12]",5pv72z4l,1428.5,♛-d8,Normal
11,♙-d2,"[27, 35, 42]",42,True,['♟-c7'],"[0, 10, 20]",5pv72z4l,1428.5,♛-d8,Normal
10,♙-c2,"[26, 33]",33,True,['♟-b7'],"[6, 8]",5pv72z4l,1428.5,♛-d8,Normal
9,♙-b2,[],9,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
8,♙-a2,"[16, 25]",25,False,['♟-a7'],"[16, 18]",5pv72z4l,1428.5,♛-d8,Normal
7,♖-h1,[],7,False,[],[],5pv72z4l,1428.5,♛-d8,Normal
6,♘-g1,"[21, 31]",31,False,[],"[26, 30]",5pv72z4l,1428.5,♛-d8,Normal
5,♗-f1,[],5,True,[],[],5pv72z4l,1428.5,♛-d8,Normal
4,♔-e1,"[13, 21, 13, 6]",6,False,[],"[24, 32, 34, 36]",5pv72z4l,1428.5,♛-d8,Normal
3,♕-d1,"[35, 34]",34,True,[],"[22, 28]",5pv72z4l,1428.5,♛-d8,Normal
2,♗-c1,[],2,True,[],[],5pv72z4l,1428.5,♛-d8,Normal
1,♘-b1,[],1,True,[],[],5pv72z4l,1428.5,♛-d8,Normal
0,♖-a1,[],0,True,[],[],5pv72z4l,1428.5,♛-d8,Normal
63,♜-h8,[61],61,True,[],[],ez8rfz4d,1724.0,False,Normal
62,♞-g8,"[45, 60]",60,True,[],"[5, 29]",ez8rfz4d,1724.0,False,Normal
61,♝-f8,[52],52,True,[],[7],ez8rfz4d,1724.0,False,Normal
60,♚-e8,"[62, 55, 46]",46,False,[],"[17, 45, 47]",ez8rfz4d,1724.0,False,Normal
59,♛-d8,"[51, 42, 51, 44, 46, 10]",10,False,['♙-c2'],"[19, 31, 33, 35, 39, 41]",ez8rfz4d,1724.0,False,Normal
58,♝-c8,[44],44,True,[],[11],ez8rfz4d,1724.0,False,Normal
57,♞-b8,"[42, 36, 26, 41]",41,False,[],"[3, 23, 25, 27]",ez8rfz4d,1724.0,False,Normal
56,♜-a8,"[61, 53]",53,False,['♘-g1'],"[21, 37]",ez8rfz4d,1724.0,False,Normal
55,♟-h7,[47],47,False,[],[43],ez8rfz4d,1724.0,False,Normal
54,♟-g7,[],54,False,[],[],ez8rfz4d,1724.0,False,Normal
53,♟-f7,[44],44,True,['♗-f1'],[13],ez8rfz4d,1724.0,False,Normal
52,♟-e7,"[36, 27]",27,True,['♙-d2'],"[1, 15]",ez8rfz4d,1724.0,False,Normal
51,♟-d7,[43],43,True,[],[9],ez8rfz4d,1724.0,False,Normal
50,♟-c7,[],50,False,[],[],ez8rfz4d,1724.0,False,Normal
49,♟-b7,[],49,False,[],[],ez8rfz4d,1724.0,False,Normal
48,♟-a7,[],48,False,[],[],ez8rfz4d,1724.0,False,Normal
15,♙-h2,[23],23,False,[],[10],ez8rfz4d,1724.0,False,Normal
14,♙-g2,[],14,False,[],[],ez8rfz4d,1724.0,False,Normal
13,♙-f2,[29],29,False,[],[24],ez8rfz4d,1724.0,False,Normal
12,♙-e2,"[28, 36, 43, 52, 60]",60,False,"['♟-d7', '♝-f8']","[0, 28, 38, 40, 48]",ez8rfz4d,1724.0,False,Normal
11,♙-d2,"[19, 27]",27,True,[],"[6, 14]",ez8rfz4d,1724.0,False,Normal
10,♙-c2,[],10,True,[],[],ez8rfz4d,1724.0,False,Normal
9,♙-b2,[17],17,False,[],[26],ez8rfz4d,1724.0,False,Normal
8,♙-a2,[],8,False,[],[],ez8rfz4d,1724.0,False,Normal
7,♖-h1,"[5, 4]",4,False,[],[36],ez8rfz4d,1724.0,False,Normal
6,♘-g1,"[21, 27, 44, 61]",61,True,"['♟-e7', '♟-f7', '♜-h8']","[2, 16, 18, 20]",ez8rfz4d,1724.0,False,Normal
5,♗-f1,"[26, 44]",44,True,['♝-c8'],"[4, 12]",ez8rfz4d,1724.0,False,Normal
4,♔-e1,[6],6,False,[],[22],ez8rfz4d,1724.0,False,Normal
3,♕-d1,[21],21,False,[],[32],ez8rfz4d,1724.0,False,Normal
2,♗-c1,[16],16,False,[],[30],ez8rfz4d,1724.0,False,Normal
1,♘-b1,[18],18,False,[],[8],ez8rfz4d,1724.0,False,Normal
