,piece,moves,last_square,captured,captures,move_nums,game_id,mean_elo,Checkmate,Termination
3,♕-d1,"[7, 55, 54, 63]",63,True,"['♜-h8', '♟-g7', '♛-d8']","[20, 24, 28, 32]",a9tcp02g,1786.5,False,Normal
2,♗-c1,"[38, 45, 63]",63,False,"['♞-g8', '♜-a8']","[22, 30, 34]",a9tcp02g,1786.5,False,Normal
1,♘-b1,"[11, 28]",28,False,['♟-d7'],"[10, 16]",a9tcp02g,1786.5,False,Normal
0,♖-a1,[],0,False,[],[],a9tcp02g,1786.5,False,Normal
63,♜-h8,[],63,False,[],[],szom2tog,1695.0,False,Normal
62,♞-g8,"[45, 30]",30,False,[],"[5, 13]",szom2tog,1695.0,False,Normal
61,♝-f8,"[34, 13]",13,True,['♙-f2'],"[7, 9]",szom2tog,1695.0,False,Normal
60,♚-e8,[],60,False,[],[],szom2tog,1695.0,False,Normal
59,♛-d8,"[45, 44]",44,False,[],"[15, 19]",szom2tog,1695.0,False,Normal
58,♝-c8,[],58,False,[],[],szom2tog,1695.0,False,Normal
57,♞-b8,"[42, 27]",27,False,[],"[3, 11]",szom2tog,1695.0,False,Normal
56,♜-a8,[],56,False,[],[],szom2tog,1695.0,False,Normal
55,♟-h7,[],55,False,[],[],szom2tog,1695.0,False,Normal
54,♟-g7,[],54,False,[],[],szom2tog,1695.0,False,Normal
53,♟-f7,[],53,False,[],[],szom2tog,1695.0,False,Normal
52,♟-e7,[36],36,False,[],[1],szom2tog,1695.0,False,Normal
51,♟-d7,[35],35,True,[],[17],szom2tog,1695.0,False,Normal
50,♟-c7,[],50,True,[],[],szom2tog,1695.0,False,Normal
49,♟-b7,[],49,False,[],[],szom2tog,1695.0,False,Normal
48,♟-a7,[],48,False,[],[],szom2tog,1695.0,False,Normal
15,♙-h2,[23],23,False,[],[16],szom2tog,1695.0,False,Normal
14,♙-g2,[],14,False,[],[],szom2tog,1695.0,False,Normal
13,♙-f2,[],13,True,[],[],szom2tog,1695.0,False,Normal
12,♙-e2,[28],28,False,[],[0],szom2tog,1695.0,False,Normal
11,♙-d2,[19],19,False,[],[12],szom2tog,1695.0,False,Normal
10,♙-c2,[],10,False,[],[],szom2tog,1695.0,False,Normal
9,♙-b2,[],9,False,[],[],szom2tog,1695.0,False,Normal
8,♙-a2,[16],16,False,[],[8],szom2tog,1695.0,False,Normal
7,♖-h1,[],7,False,[],[],szom2tog,1695.0,False,Normal
6,♘-g1,[21],21,False,[],[2],szom2tog,1695.0,False,Normal
5,♗-f1,[26],26,False,[],[4],szom2tog,1695.0,False,Normal
4,♔-e1,"[13, 5]",5,False,['♝-f8'],"[10, 14]",szom2tog,1695.0,False,Normal
3,♕-d1,[],3,False,[],[],szom2tog,1695.0,False,Normal
2,♗-c1,[],2,False,[],[],szom2tog,1695.0,False,Normal
1,♘-b1,"[18, 35, 50]",50,False,"['♟-d7', '♟-c7']","[6, 18, 20]",szom2tog,1695.0,False,Normal
0,♖-a1,[],0,False,[],[],szom2tog,1695.0,False,Normal
63,♜-h8,[61],61,True,[],[47],rklpc7mk,1898.5,False,Normal
62,♞-g8,[45],45,True,[],[9],rklpc7mk,1898.5,False,Normal
61,♝-f8,"[52, 43, 22, 4, 11, 2, 9, 18, 27, 36, 9, 2, 38]",38,False,"['♙-b2', '♙-c2', '♙-d2', '♙-f2']","[23, 35, 39, 55, 57, 59, 63, 65, 67, 69, 71, 75, 85]",rklpc7mk,1898.5,False,Normal
60,♚-e8,"[51, 52, 61, 52, 61, 53, 52, 43, 35, 27]",27,False,['♖-a1'],"[33, 43, 49, 51, 61, 73, 77, 81, 89, 91]",rklpc7mk,1898.5,False,Normal
59,♛-d8,"[32, 36, 20]",20,True,['♕-d1'],"[27, 29, 31]",rklpc7mk,1898.5,False,Normal
58,♝-c8,"[37, 46]",46,True,[],"[13, 15]",rklpc7mk,1898.5,False,Normal
57,♞-b8,"[51, 45, 39, 29]",29,True,"['♘-b1', '♗-c1']","[7, 11, 19, 21]",rklpc7mk,1898.5,False,Normal
56,♜-a8,"[61, 5]",5,True,['♖-h1'],"[41, 45]",rklpc7mk,1898.5,False,Normal
55,♟-h7,"[46, 38]",38,True,['♘-g1'],"[37, 53]",rklpc7mk,1898.5,False,Normal
54,♟-g7,[],54,False,[],[],rklpc7mk,1898.5,False,Normal
53,♟-f7,[44],44,True,['♗-f1'],[25],rklpc7mk,1898.5,False,Normal
52,♟-e7,[44],44,True,[],[17],rklpc7mk,1898.5,False,Normal
51,♟-d7,"[35, 28]",28,True,['♙-e2'],"[3, 5]",rklpc7mk,1898.5,False,Normal
50,♟-c7,"[42, 34, 26]",26,False,[],"[1, 83, 93]",rklpc7mk,1898.5,False,Normal
49,♟-b7,"[33, 24]",24,True,['♙-a2'],"[79, 87]",rklpc7mk,1898.5,False,Normal
48,♟-a7,[],48,False,[],[],rklpc7mk,1898.5,False,Normal
15,♙-h2,"[23, 31, 39]",39,False,[],"[38, 66, 68]",rklpc7mk,1898.5,False,Normal
14,♙-g2,"[30, 38, 46]",46,False,[],"[70, 74, 76]",rklpc7mk,1898.5,False,Normal
13,♙-f2,"[20, 28, 36]",36,True,['♛-d8'],"[32, 50, 62]",rklpc7mk,1898.5,False,Normal
12,♙-e2,[28],28,True,[],[0],rklpc7mk,1898.5,False,Normal
11,♙-d2,"[19, 27]",27,True,[],"[14, 44]",rklpc7mk,1898.5,False,Normal
10,♙-c2,[18],18,True,[],[28],rklpc7mk,1898.5,False,Normal
9,♙-b2,[],9,True,[],[],rklpc7mk,1898.5,False,Normal
8,♙-a2,"[16, 24]",24,True,[],"[84, 86]",rklpc7mk,1898.5,False,Normal
7,♖-h1,[5],5,True,[],[42],rklpc7mk,1898.5,False,Normal
6,♘-g1,"[12, 29, 44, 29, 46]",46,True,"['♞-b8', '♟-f7', '♝-c8']","[16, 22, 26, 34, 36]",rklpc7mk,1898.5,False,Normal
5,♗-f1,"[26, 44]",44,True,['♟-e7'],"[8, 24]",rklpc7mk,1898.5,False,Normal
4,♔-e1,"[11, 20, 21, 30, 37, 46, 38, 37, 36, 27, 18, 9, 16, 24]",24,False,"['♟-h7', '♟-b7']","[40, 52, 54, 56, 58, 60, 64, 72, 78, 80, 82, 88, 90, 92]",rklpc7mk,1898.5,False,Normal
3,♕-d1,"[21, 22, 21, 20]",20,True,[],"[4, 12, 20, 30]",rklpc7mk,1898.5,False,Normal
2,♗-c1,[29],29,True,[],[18],rklpc7mk,1898.5,False,Normal
1,♘-b1,"[18, 28, 45]",45,True,"['♟-d7', '♞-g8']","[2, 6, 10]",rklpc7mk,1898.5,False,Normal
0,♖-a1,"[5, 61]",61,True,"['♜-a8', '♜-h8']","[46, 48]",rklpc7mk,1898.5,False,Normal
63,♜-h8,[],63,False,[],[],1xb3os63,1790.0,False,Normal
62,♞-g8,"[47, 37, 47, 30, 47, 37, 20, 3]",3,True,"['♙-g2', '♕-d1']","[13, 15, 17, 19, 21, 23, 27, 29]",1xb3os63,1790.0,False,Normal
61,♝-f8,[],61,False,[],[],1xb3os63,1790.0,False,Normal
60,♚-e8,[53],53,False,['♘-g1'],[33],1xb3os63,1790.0,False,Normal
59,♛-d8,[41],41,False,[],[7],1xb3os63,1790.0,False,Normal
58,♝-c8,"[51, 44, 23]",23,False,"['♗-f1', '♙-h2']","[11, 37, 45]",1xb3os63,1790.0,False,Normal
57,♞-b8,"[42, 52, 37, 20, 5]",5,True,['♖-h1'],"[9, 25, 39, 41, 43]",1xb3os63,1790.0,False,Normal
56,♜-a8,[],56,False,[],[],1xb3os63,1790.0,False,Normal
55,♟-h7,"[47, 39]",39,False,[],"[31, 35]",1xb3os63,1790.0,False,Normal
54,♟-g7,[],54,False,[],[],1xb3os63,1790.0,False,Normal
53,♟-f7,[],53,True,[],[],1xb3os63,1790.0,False,Normal
52,♟-e7,[44],44,True,[],[1],1xb3os63,1790.0,False,Normal
51,♟-d7,[35],35,False,[],[3],1xb3os63,1790.0,False,Normal
50,♟-c7,[34],34,False,[],[5],1xb3os63,1790.0,False,Normal
49,♟-b7,[],49,False,[],[],1xb3os63,1790.0,False,Normal
48,♟-a7,[],48,False,[],[],1xb3os63,1790.0,False,Normal
15,♙-h2,[23],23,True,[],[20],1xb3os63,1790.0,False,Normal
14,♙-g2,[30],30,True,[],[16],1xb3os63,1790.0,False,Normal
13,♙-f2,[29],29,False,[],[2],1xb3os63,1790.0,False,Normal
12,♙-e2,"[28, 36]",36,False,[],"[0, 4]",1xb3os63,1790.0,False,Normal
11,♙-d2,[19],19,False,[],[10],1xb3os63,1790.0,False,Normal
10,♙-c2,[18],18,False,[],[8],1xb3os63,1790.0,False,Normal
9,♙-b2,[],9,False,[],[],1xb3os63,1790.0,False,Normal
8,♙-a2,[],8,False,[],[],1xb3os63,1790.0,False,Normal
7,♖-h1,"[5, 3, 5]",5,True,['♞-g8'],"[30, 34]",1xb3os63,1790.0,False,Normal
6,♘-g1,"[21, 38, 53]",53,True,['♟-f7'],"[6, 22, 32]",1xb3os63,1790.0,False,Normal
5,♗-f1,"[12, 30, 44]",44,True,['♟-e7'],"[12, 24, 36]",1xb3os63,1790.0,False,Normal
4,♔-e1,"[6, 14, 21, 22, 14, 13, 5]",5,False,['♞-b8'],"[14, 18, 28, 38, 40, 42, 44]",1xb3os63,1790.0,False,Normal
3,♕-d1,[],3,True,[],[],1xb3os63,1790.0,False,Normal
2,♗-c1,[],2,False,[],[],1xb3os63,1790.0,False,Normal
1,♘-b1,[11],11,False,[],[26],1xb3os63,1790.0,False,Normal
0,♖-a1,[],0,False,[],[],1xb3os63,1790.0,False,Normal
63,♜-h8,[62],62,True,[],[15],6x5nq6qd,1482.0,False,Time forfeit
62,♞-g8,[47],47,True,[],[5],6x5nq6qd,1482.0,False,Time forfeit
61,♝-f8,"[54, 18, 11, 38]",38,True,"['♙-c2', '♘-b1']","[11, 31, 33, 35]",6x5nq6qd,1482.0,False,Time forfeit
60,♚-e8,"[52, 51]",51,False,[],"[53, 59]",6x5nq6qd,1482.0,False,Time forfeit
59,♛-d8,"[52, 34]",34,True,[],"[21, 23]",6x5nq6qd,1482.0,False,Time forfeit
58,♝-c8,"[49, 28, 42, 24, 33]",33,True,"['♙-e2', '♙-b2']","[3, 27, 29, 41, 47]",6x5nq6qd,1482.0,False,Time forfeit
57,♞-b8,"[42, 36, 26]",26,True,['♗-f1'],"[13, 17, 19]",6x5nq6qd,1482.0,False,Time forfeit
56,♜-a8,"[57, 33, 34, 35]",35,True,"['♙-d2', '♖-a1']","[43, 49, 51, 61]",6x5nq6qd,1482.0,False,Time forfeit
55,♟-h7,[47],47,False,[],[39],6x5nq6qd,1482.0,False,Time forfeit
54,♟-g7,"[47, 38]",38,False,"['♗-c1', '♘-g1']","[7, 37]",6x5nq6qd,1482.0,False,Time forfeit
53,♟-f7,[],53,False,[],[],6x5nq6qd,1482.0,False,Time forfeit
52,♟-e7,"[44, 36]",36,True,[],"[9, 55]",6x5nq6qd,1482.0,False,Time forfeit
51,♟-d7,"[43, 35]",35,True,[],"[45, 57]",6x5nq6qd,1482.0,False,Time forfeit
50,♟-c7,[],50,False,[],[],6x5nq6qd,1482.0,False,Time forfeit
49,♟-b7,"[41, 33]",33,True,[],"[1, 25]",6x5nq6qd,1482.0,False,Time forfeit
48,♟-a7,[],48,True,[],[],6x5nq6qd,1482.0,False,Time forfeit
15,♙-h2,[],15,False,[],[],6x5nq6qd,1482.0,False,Time forfeit
14,♙-g2,[22],22,False,[],[32],6x5nq6qd,1482.0,False,Time forfeit
13,♙-f2,[],13,False,[],[],6x5nq6qd,1482.0,False,Time forfeit
12,♙-e2,[28],28,True,[],[0],6x5nq6qd,1482.0,False,Time forfeit
11,♙-d2,"[19, 26, 33]",33,True,"['♞-b8', '♝-c8']","[4, 20, 48]",6x5nq6qd,1482.0,False,Time forfeit
10,♙-c2,[18],18,True,[],[12],6x5nq6qd,1482.0,False,Time forfeit
9,♙-b2,"[25, 33]",33,True,[],"[40, 44]",6x5nq6qd,1482.0,False,Time forfeit
8,♙-a2,[],8,False,[],[],6x5nq6qd,1482.0,False,Time forfeit
7,♖-h1,[5],5,False,[],[],6x5nq6qd,1482.0,False,Time forfeit
6,♘-g1,"[23, 38]",38,True,['♝-f8'],"[10, 36]",6x5nq6qd,1482.0,False,Time forfeit
5,♗-f1,[26],26,True,[],[2],6x5nq6qd,1482.0,False,Time forfeit
4,♔-e1,[6],6,False,[],[22],6x5nq6qd,1482.0,False,Time forfeit
3,♕-d1,"[21, 22, 21, 20, 34, 33, 17, 19, 16, 48, 56, 62, 63, 36, 35]",35,False,"['♛-d8', '♟-b7', '♟-a7', '♜-h8', '♟-e7', '♜-a8']","[8, 14, 16, 18, 24, 26, 30, 38, 46, 50, 52, 54, 56, 58, 62]",6x5nq6qd,1482.0,False,Time forfeit
2,♗-c1,[47],47,True,['♞-g8'],[6],6x5nq6qd,1482.0,False,Time forfeit
1,♘-b1,[11],11,True,[],[28],6x5nq6qd,1482.0,False,Time forfeit
0,♖-a1,"[3, 11, 35]",35,True,['♟-d7'],"[34, 42, 60]",6x5nq6qd,1482.0,False,Time forfeit
63,♜-h8,[61],61,False,[],[],fl7asfa0,1520.5,False,Normal
62,♞-g8,[45],45,False,[],[5],fl7asfa0,1520.5,False,Normal
61,♝-f8,[34],34,False,[],[7],fl7asfa0,1520.5,False,Normal
60,♚-e8,[62],62,False,[],[9],fl7asfa0,1520.5,False,Normal
59,♛-d8,"[51, 30]",30,False,[],"[33, 37]",fl7asfa0,1520.5,False,Normal
58,♝-c8,"[44, 23]",23,False,['♙-h2'],"[17, 35]",fl7asfa0,1520.5,False,Normal
57,♞-b8,"[42, 32, 17]",17,True,['♗-f1'],"[3, 13, 15]",fl7asfa0,1520.5,False,Normal
56,♜-a8,"[57, 9, 11]",11,True,"['♙-b2', '♘-b1']","[19, 21, 23]",fl7asfa0,1520.5,False,Normal
55,♟-h7,"[47, 39, 31]",31,False,[],"[25, 29, 31]",fl7asfa0,1520.5,False,Normal
54,♟-g7,[38],38,True,[],[27],fl7asfa0,1520.5,False,Normal
53,♟-f7,[],53,False,[],[],fl7asfa0,1520.5,False,Normal
52,♟-e7,[36],36,False,[],[1],fl7asfa0,1520.5,False,Normal
51,♟-d7,[43],43,False,[],[11],fl7asfa0,1520.5,False,Normal
